"Rootcrops: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September","2025 October","2025 November","2025 December"
"..CAR - Cordillera Administrative Region","SWEET POTATO (CAMOTE), 1 KG",50.72,47.64,44.44,40.64,38.74,39.70,40.57,47.25,50.37,51.40,53.23,53.95,53.82,54.73,50.17,49.54,51.26,49.19,49.33,51.93,53.45,57.59,59.49,58.84,64.89,65.02,61.47,61.31,63.63,64.84,66.73,67.11,69.64,66.93,66.49,64.69,64.49,62.49,62.23,62.43,63.20,65.37,63.42,61.79,68.35,69.67,71.15,70.81,70.29,64.53,63.05,62.18,62.10,63.32,63.78,66.56,.,.,.,.
"..CAR - Cordillera Administrative Region","GABI TUBERS, 1 KG",46.96,44.89,48.34,46.27,51.10,51.10,48.34,55.70,61.26,58.75,57.50,60.75,60.38,65.38,71.63,67.50,66.57,64.94,65.19,70.88,70.63,74.13,75.00,74.00,70.38,73.13,73.69,73.44,72.13,73.38,75.25,78.88,81.69,81.69,83.62,82.05,82.55,82.50,79.43,84.77,85.50,87.72,90.45,90.45,88.58,90.20,89.39,89.19,89.54,89.62,84.84,84.59,85.10,85.09,84.97,85.55,.,.,.,.
"....Abra","CARROT, 1 KG",106.25,93.75,88.75,77.50,71.25,67.50,61.25,77.50,108.75,81.25,90.00,87.50,83.75,82.50,83.75,85.00,97.50,81.25,81.25,82.50,82.50,88.75,88.75,90.00,87.50,77.50,76.25,72.50,68.75,68.75,83.75,128.75,126.25,122.50,120.00,83.75,82.50,85.00,105.00,100.00,87.50,97.50,107.50,132.50,102.50,97.50,112.50,117.50,131.25,96.25,93.75,91.25,90.00,85.00,92.50,125.00,.,.,.,.
"....Abra","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Abra","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Abra","POTATO, 1 KG",93.75,92.50,80.00,77.50,72.50,70.00,63.75,73.75,67.50,72.50,81.25,83.75,75.00,70.00,71.25,76.25,78.75,77.50,80.00,80.00,77.50,77.50,86.25,98.75,112.50,117.50,101.25,83.75,90.00,96.25,92.50,97.50,112.50,135.00,142.50,130.00,117.50,103.75,111.25,107.50,105.00,122.50,107.50,108.75,100.00,91.25,105.00,107.50,120.00,112.50,111.25,100.00,97.50,105.00,103.75,97.50,.,.,.,.
"....Abra","SWEET POTATO (CAMOTE), 1 KG",51.25,46.25,35.00,30.63,33.13,34.38,40.63,52.50,53.75,55.00,60.00,60.00,58.75,63.75,52.50,47.50,51.25,48.75,50.00,50.00,50.00,51.25,56.25,58.75,80.00,73.75,61.25,61.25,65.00,63.75,60.00,50.00,55.00,53.75,55.00,57.50,63.75,58.75,48.13,50.00,56.25,60.00,68.75,67.50,75.00,76.25,77.50,81.25,81.25,63.75,61.25,61.25,63.75,62.50,63.75,63.75,.,.,.,.
"....Abra","GABI TUBERS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Apayao","CARROT, 1 KG",120.00,108.75,90.63,75.63,66.88,67.50,66.88,68.75,79.38,80.00,83.13,95.00,78.13,70.00,85.00,83.75,85.00,73.75,68.75,80.00,92.50,96.88,109.69,91.09,84.06,73.13,69.69,72.19,66.88,66.56,83.85,96.72,107.34,102.15,114.38,77.50,76.25,78.75,93.75,101.25,93.75,95.00,101.25,112.50,97.50,95.63,127.50,130.00,137.50,105.00,91.25,70.63,76.25,78.13,80.00,165.00,.,.,.,.
"....Apayao","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Apayao","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Apayao","POTATO, 1 KG",98.75,96.25,90.00,85.00,76.25,71.25,62.50,65.13,66.25,67.50,72.50,78.13,78.13,72.50,70.00,67.50,72.50,73.75,73.75,72.50,72.50,73.75,83.13,91.09,117.31,110.46,106.88,100.00,97.50,96.25,101.25,115.63,123.44,152.97,169.38,130.00,125.00,106.25,102.50,107.50,108.75,112.50,110.00,122.50,107.50,101.88,104.38,133.75,135.00,126.25,118.75,97.50,94.38,86.25,82.50,92.50,.,.,.,.
"....Apayao","SWEET POTATO (CAMOTE), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Apayao","GABI TUBERS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Benguet","CARROT, 1 KG",86.50,79.62,65.86,51.11,45.22,43.25,50.13,68.75,75.63,70.00,77.50,85.00,75.50,66.00,76.75,71.50,64.50,56.25,58.75,77.88,89.13,100.13,113.88,107.50,69.63,69.63,62.25,58.50,61.63,52.75,80.50,121.13,138.50,104.25,104.38,93.75,62.50,56.50,65.63,75.88,82.13,75.63,85.00,89.38,72.50,67.50,90.63,100.00,113.13,90.63,71.75,58.75,56.88,60.25,64.63,73.00,.,.,.,.
"....Benguet","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Benguet","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Benguet","POTATO, 1 KG",54.38,57.50,49.38,41.88,37.50,34.38,40.00,54.38,56.88,57.50,71.25,79.50,65.06,63.00,52.88,54.13,56.63,61.13,56.38,64.88,64.25,64.50,89.00,97.38,113.00,106.63,80.38,79.13,80.75,84.00,94.75,116.25,135.00,143.75,139.38,125.00,108.75,108.13,115.75,120.38,100.63,110.00,108.75,102.50,81.63,84.50,87.50,95.00,113.00,91.25,83.63,80.88,76.75,66.88,71.00,73.13,.,.,.,.
"....Benguet","SWEET POTATO (CAMOTE), 1 KG",50.71,48.57,45.71,42.14,38.57,39.29,41.43,49.38,51.25,51.88,51.88,50.00,55.00,63.75,56.25,51.25,50.00,50.00,54.13,63.50,65.13,75.50,72.75,70.25,66.50,70.88,69.00,70.25,70.88,72.13,73.38,78.38,77.13,77.50,72.50,67.00,71.38,70.00,72.50,76.25,78.13,81.25,76.25,68.75,68.75,70.00,72.50,72.50,70.00,68.75,71.25,72.50,73.25,72.75,69.63,70.25,.,.,.,.
"....Benguet","GABI TUBERS, 1 KG",48.57,46.43,50.00,47.86,52.86,52.86,50.00,61.25,66.88,60.00,57.50,60.25,60.75,67.75,70.25,66.50,64.63,61.38,60.63,70.75,70.50,76.88,77.00,72.00,67.50,73.25,72.63,72.63,70.75,73.25,74.50,78.25,77.00,79.50,80.63,77.50,77.50,70.00,71.25,73.13,75.00,78.13,82.50,82.50,81.25,85.00,84.38,84.38,84.38,83.13,79.38,79.38,82.50,84.38,81.88,82.50,.,.,.,.
"....Ifugao","CARROT, 1 KG",62.86,88.57,88.57,58.57,55.71,54.29,55.71,71.43,108.57,87.14,85.71,84.29,82.86,77.14,88.57,75.71,70.00,64.29,65.71,60.00,102.86,97.14,94.29,78.57,85.71,45.71,45.71,45.71,54.29,60.00,111.43,108.57,128.57,118.57,111.43,92.86,75.71,77.14,101.43,84.29,82.86,77.14,100.00,102.86,80.00,85.71,122.86,122.86,140.00,112.86,82.86,77.14,62.86,75.71,71.43,111.43,.,.,.,.
"....Ifugao","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ifugao","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ifugao","POTATO, 1 KG",81.43,94.29,91.43,67.14,61.43,52.86,54.29,95.71,97.14,81.43,92.86,94.29,81.43,78.57,64.29,52.86,70.00,71.43,70.00,64.29,68.57,78.57,84.29,102.86,114.29,100.00,97.14,94.29,88.57,97.14,107.14,118.57,140.00,180.00,182.86,160.00,135.71,105.71,118.57,114.29,97.14,115.71,103.57,95.71,92.86,77.14,90.00,112.86,132.86,107.14,110.00,91.43,82.86,82.86,87.14,92.86,.,.,.,.
"....Ifugao","SWEET POTATO (CAMOTE), 1 KG",47.14,47.86,49.29,47.86,47.86,47.86,40.71,41.43,42.86,42.86,41.43,40.71,45.00,45.71,47.14,47.86,47.86,40.00,35.00,37.14,37.14,35.71,41.43,42.14,45.71,53.57,52.14,47.86,49.29,55.00,60.00,58.57,65.71,62.86,62.86,58.57,54.29,54.29,57.14,55.71,55.71,57.14,57.14,58.57,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,.,.,.,.
"....Ifugao","GABI TUBERS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Kalinga","CARROT, 1 KG",77.50,80.00,76.25,48.75,42.50,43.75,45.00,53.75,76.25,65.00,66.25,70.00,67.50,70.00,67.50,58.75,57.50,70.00,60.00,71.25,90.00,82.50,103.75,93.75,86.25,58.75,48.75,51.25,52.50,57.50,80.00,97.50,108.75,72.50,81.25,73.75,75.00,66.25,77.50,83.13,80.00,82.50,86.25,83.75,67.50,67.50,90.00,94.38,116.25,82.50,72.50,53.13,53.75,56.25,55.63,83.13,.,.,.,.
"....Kalinga","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Kalinga","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Kalinga","POTATO, 1 KG",80.00,73.75,65.00,51.25,48.75,38.75,37.50,48.75,47.50,49.38,59.38,61.88,54.38,58.13,53.13,51.88,53.13,58.13,61.25,53.75,63.75,71.25,77.50,103.75,113.75,95.63,85.63,78.13,83.75,72.50,67.50,88.75,103.75,98.75,133.75,113.13,115.00,102.50,98.75,100.63,102.50,115.00,120.00,107.50,76.25,68.75,81.25,93.13,107.50,102.50,76.25,65.63,61.25,58.75,62.50,66.25,.,.,.,.
"....Kalinga","SWEET POTATO (CAMOTE), 1 KG",49.38,41.25,38.75,26.25,26.88,28.75,29.38,36.25,40.63,38.13,42.50,50.00,45.00,43.38,41.25,42.50,45.00,41.25,40.00,40.00,46.25,47.50,47.50,42.50,55.63,57.50,55.00,52.50,58.75,60.63,65.00,69.38,64.38,51.88,53.75,55.00,56.25,51.25,50.63,49.38,48.75,52.50,45.63,41.88,43.13,42.50,46.25,49.38,53.13,45.00,41.25,40.63,41.88,40.63,41.88,49.38,.,.,.,.
"....Kalinga","GABI TUBERS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Mountain Province","CARROT, 1 KG",93.75,92.50,70.00,60.00,61.25,45.00,53.75,65.00,68.75,76.25,70.00,80.00,73.75,61.25,68.75,68.75,65.00,60.00,61.25,70.63,71.88,90.63,93.13,91.88,80.63,61.88,59.38,60.63,60.63,63.13,81.88,90.63,103.13,91.88,95.00,80.00,73.75,67.50,90.00,97.50,82.50,83.75,76.88,108.13,56.25,70.00,95.00,95.00,96.25,85.00,87.50,75.00,71.25,67.50,67.50,107.50,.,.,.,.
"....Mountain Province","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Mountain Province","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Mountain Province","POTATO, 1 KG",66.25,85.00,75.00,67.50,52.50,45.63,50.00,58.75,61.25,63.75,72.50,71.25,68.75,63.75,62.50,63.75,61.25,62.50,63.75,73.75,72.50,73.75,76.25,86.25,103.75,103.75,92.50,95.00,87.50,82.50,88.13,89.38,96.88,106.88,139.38,126.25,127.50,118.75,113.75,113.75,108.13,117.50,133.75,116.25,75.00,80.00,90.00,111.25,106.25,122.50,97.50,87.50,82.50,82.50,66.25,78.75,.,.,.,.
"....Mountain Province","SWEET POTATO (CAMOTE), 1 KG",56.88,55.00,53.75,56.25,48.75,50.00,51.25,51.25,51.25,51.25,51.25,50.00,51.25,50.00,49.38,52.50,53.75,56.25,56.25,56.25,56.25,60.00,55.00,55.00,57.50,55.00,57.50,57.50,58.75,61.25,62.50,62.50,65.00,67.50,68.75,66.25,66.25,66.25,66.25,63.75,61.25,60.00,58.75,58.75,72.50,73.75,76.25,71.25,71.25,66.25,63.75,56.88,52.50,61.25,62.50,66.25,.,.,.,.
"....Mountain Province","GABI TUBERS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....City of Baguio","CARROT, 1 KG",81.23,74.77,61.85,48.00,42.47,40.62,47.08,61.00,68.83,64.92,83.08,92.33,79.58,65.17,84.33,82.00,89.04,75.83,79.58,86.50,101.83,118.25,128.83,124.92,106.33,90.75,75.00,74.08,76.67,73.67,95.17,145.08,163.00,149.33,136.42,119.25,91.75,97.13,102.38,107.69,102.13,99.29,113.21,112.25,95.00,103.65,127.92,143.04,151.79,118.29,83.79,69.00,71.96,74.10,73.92,103.92,.,.,.,.
"....City of Baguio","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....City of Baguio","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....City of Baguio","POTATO, 1 KG",54.50,57.63,49.49,41.97,37.58,34.45,40.08,54.56,72.73,75.81,79.63,70.92,61.17,68.00,70.08,67.42,69.25,70.50,70.17,69.25,76.08,83.25,115.83,121.00,146.00,124.50,104.42,102.25,103.17,101.00,111.58,121.58,158.25,170.25,181.08,144.00,115.42,115.85,117.02,122.40,110.38,124.98,122.31,104.58,102.90,108.65,97.75,118.29,121.79,111.33,108.25,107.08,94.77,92.54,88.77,96.56,.,.,.,.
"....City of Baguio","SWEET POTATO (CAMOTE), 1 KG",48.96,46.89,44.13,40.68,37.23,37.93,40.00,52.67,62.50,69.30,72.30,73.00,67.90,61.80,54.50,55.60,59.70,58.90,60.60,64.70,65.90,75.60,84.00,84.40,84.00,79.40,73.90,78.50,79.10,76.30,79.50,83.80,90.60,88.10,86.10,83.80,75.00,74.40,78.70,79.50,79.10,81.30,74.00,75.30,90.70,95.50,94.40,90.50,86.10,83.40,80.80,81.80,81.20,82.80,84.90,89.70,.,.,.,.
"....City of Baguio","GABI TUBERS, 1 KG",45.34,43.34,46.67,44.67,49.34,49.34,46.67,50.14,55.63,57.50,57.50,61.25,60.00,63.00,73.00,68.50,68.50,68.50,69.75,71.00,70.75,71.38,73.00,76.00,73.25,73.00,74.75,74.25,73.50,73.50,76.00,79.50,86.38,83.88,86.60,86.60,87.60,95.00,87.60,96.40,96.00,97.30,98.40,98.40,95.90,95.40,94.40,94.00,94.70,96.10,90.30,89.80,87.70,85.80,88.05,88.60,.,.,.,.
"..I - Ilocos Region","CARROT, 1 KG",105.96,107.20,93.60,84.58,65.15,60.82,58.94,89.63,111.94,97.88,119.69,98.75,90.78,80.31,97.19,90.66,89.16,82.06,83.31,97.72,112.63,124.69,123.44,119.38,105.63,84.85,86.88,83.16,76.88,83.88,130.10,161.60,166.22,146.06,138.50,116.25,100.16,93.31,118.28,104.72,101.91,104.03,108.16,117.50,97.60,117.19,139.72,142.88,164.75,118.88,106.63,98.13,94.16,96.25,92.38,183.56,.,.,.,.
"..I - Ilocos Region","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..I - Ilocos Region","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..I - Ilocos Region","POTATO, 1 KG",93.44,92.81,70.63,65.00,59.85,51.88,50.31,64.63,66.25,78.91,81.10,72.19,67.35,64.06,56.88,60.63,64.38,65.94,66.56,67.06,68.25,79.38,85.16,100.00,107.50,111.88,101.25,100.94,91.19,101.50,106.63,111.66,134.28,161.88,155.88,140.41,126.75,114.41,117.03,112.13,106.97,116.60,111.88,92.44,91.25,99.69,103.47,113.91,129.41,122.06,115.88,103.75,95.41,90.72,87.69,100.44,.,.,.,.
"..I - Ilocos Region","SWEET POTATO (CAMOTE), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..I - Ilocos Region","GABI TUBERS, 1 KG",55.00,61.40,56.28,58.84,57.56,55.00,55.00,51.43,48.75,51.25,53.33,53.33,50.00,50.00,48.33,48.33,46.67,50.00,51.67,54.17,48.33,51.67,51.67,53.33,53.33,51.67,50.00,50.00,51.67,51.67,51.67,51.25,53.75,53.75,57.50,55.00,55.00,55.00,55.00,55.00,52.50,53.75,57.50,57.50,56.25,60.00,62.50,62.50,73.57,69.17,72.50,73.33,60.83,65.83,60.83,61.67,.,.,.,.
"....Ilocos Norte","CARROT, 1 KG",115.72,108.49,90.41,84.38,67.50,63.88,67.50,98.75,123.75,102.50,125.00,96.25,105.00,86.25,98.75,93.75,88.75,83.75,87.50,100.00,118.75,127.50,137.50,115.00,113.75,79.38,87.50,87.50,76.25,78.75,145.00,193.75,169.38,151.25,168.75,137.50,105.00,87.50,133.75,95.00,102.50,110.00,127.50,145.00,96.25,127.50,181.25,165.00,170.00,126.25,115.00,100.00,98.75,103.75,98.75,186.25,.,.,.,.
"....Ilocos Norte","TURNIP (SINGKAMAS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ilocos Norte","RADDISH (LABANOS), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ilocos Norte","POTATO, 1 KG",95.00,100.00,80.00,75.00,73.75,67.50,57.50,76.25,72.50,102.50,80.00,77.50,75.00,72.50,73.75,70.00,68.75,72.50,77.50,71.25,73.75,91.25,95.00,123.75,140.00,120.00,116.25,112.50,92.50,101.25,110.00,115.00,131.25,146.25,145.00,147.50,131.25,108.75,115.00,111.25,108.75,123.75,126.25,102.50,87.50,100.00,113.75,127.50,146.25,138.75,118.75,102.50,100.00,101.25,96.25,103.75,.,.,.,.
