"Condiments: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December","2025 January","2025 February","2025 March","2025 April","2025 May","2025 June","2025 July","2025 August","2025 September","2025 October","2025 November","2025 December"
"....Apayao","ONION RED CREOLE (BERMUDA RED), 1 KG",163.05,141.55,125.13,116.27,115.02,107.44,112.50,115.63,115.63,116.88,118.75,125.63,160.00,141.43,108.75,74.38,73.75,91.88,88.75,111.25,123.75,145.00,177.50,210.00,226.88,219.38,202.81,160.23,175.94,175.94,182.50,175.63,192.34,178.75,175.00,190.00,160.00,143.75,136.25,118.13,95.00,103.75,106.25,115.00,115.00,116.88,116.25,117.50,126.25,125.00,146.25,123.75,125.00,137.50,137.50,163.75,.,.,.,.
"....Apayao","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Apayao","GINGER, LOOSE, 1 KG",163.75,154.38,146.25,136.88,131.88,131.25,143.13,140.00,142.50,142.50,140.00,135.63,125.00,120.00,105.63,98.75,87.50,91.88,85.63,95.00,96.25,96.25,100.00,105.63,96.25,93.13,77.50,74.63,74.88,73.00,74.06,81.56,78.75,79.38,108.13,115.00,105.00,90.63,83.75,90.00,98.75,131.25,141.25,165.00,166.25,166.25,206.25,196.25,186.25,165.00,155.00,147.50,143.75,148.75,145.00,167.50,.,.,.,.
"....Benguet","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Benguet","ONION RED CREOLE (BERMUDA RED), 1 KG",111.25,107.50,109.38,100.00,98.13,103.13,110.00,140.00,138.75,132.50,145.25,150.50,168.38,149.25,138.00,129.63,97.25,111.75,115.25,141.50,157.25,207.25,221.00,299.63,422.00,411.00,180.50,176.75,196.75,208.25,210.75,220.38,213.00,214.75,209.75,211.50,207.88,165.00,148.75,138.25,125.75,138.75,152.50,138.25,137.00,136.75,140.00,137.50,155.00,158.75,163.38,155.00,137.00,153.75,157.50,167.50,.,.,.,.
"....Benguet","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Benguet","GINGER, LOOSE, 1 KG",125.98,122.28,125.98,116.72,107.46,113.02,135.25,146.50,166.50,173.75,168.75,155.00,131.75,126.00,115.75,111.00,114.25,111.25,106.25,126.25,120.38,134.50,118.25,118.25,117.50,107.50,112.50,100.25,93.75,100.00,104.50,104.50,109.50,111.25,109.38,117.50,111.88,96.25,93.75,92.50,103.75,110.63,126.88,146.88,143.50,164.88,132.75,128.75,152.13,133.75,133.75,133.75,143.75,147.50,148.75,153.75,.,.,.,.
"....Ifugao","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ifugao","ONION RED CREOLE (BERMUDA RED), 1 KG",195.71,145.71,134.29,115.71,128.57,124.29,124.29,132.86,145.71,132.86,147.14,182.86,205.71,131.43,105.71,108.57,105.71,105.71,108.57,134.29,184.29,177.14,240.00,285.71,334.29,302.86,180.00,134.29,192.86,202.86,200.00,200.00,202.86,194.29,192.86,208.57,190.00,157.14,130.00,125.71,118.57,124.29,127.14,122.86,127.14,124.29,137.14,138.57,154.29,165.71,168.57,130.00,130.00,137.14,142.86,160.00,.,.,.,.
"....Ifugao","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ifugao","GINGER, LOOSE, 1 KG",142.86,154.29,121.43,111.43,122.86,131.43,121.43,115.71,117.14,141.43,141.43,108.57,100.00,97.14,97.14,94.29,94.29,78.57,100.00,85.71,71.43,65.71,82.86,84.29,82.86,67.14,82.86,80.00,68.57,65.71,64.29,64.29,91.43,70.00,71.43,75.71,74.29,70.00,65.71,67.14,72.86,85.71,95.71,94.29,85.71,97.14,108.57,111.43,118.57,110.00,108.57,85.71,135.71,145.71,138.57,128.57,.,.,.,.
"....Kalinga","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Kalinga","ONION RED CREOLE (BERMUDA RED), 1 KG",122.50,117.50,115.63,110.00,110.63,107.50,110.00,110.00,110.00,116.88,116.88,129.38,151.25,128.75,106.25,80.00,70.00,76.25,92.50,108.75,123.13,181.25,210.00,255.00,487.50,330.00,156.25,125.00,152.50,176.25,177.50,186.25,182.50,158.75,161.25,160.00,161.25,153.75,95.00,91.25,88.75,87.50,90.00,93.13,93.75,104.38,113.75,113.13,120.00,125.00,140.63,123.13,124.38,124.38,127.50,133.75,.,.,.,.
"....Kalinga","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Kalinga","GINGER, LOOSE, 1 KG",125.00,112.50,106.88,104.38,108.13,135.00,122.50,102.50,102.50,102.50,102.50,105.00,105.00,101.25,91.25,86.25,87.50,87.50,87.50,72.50,66.25,60.00,71.25,70.00,70.00,70.00,53.75,43.13,48.75,58.13,58.13,58.13,42.50,41.25,51.88,56.88,66.25,67.50,65.00,70.00,72.50,86.25,95.00,95.63,97.50,108.25,123.75,110.00,110.00,108.75,100.63,106.25,123.75,138.13,135.63,138.75,.,.,.,.
"....Mountain Province","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Mountain Province","ONION RED CREOLE (BERMUDA RED), 1 KG",185.00,161.25,150.00,138.75,136.25,135.00,142.50,135.00,158.75,146.25,166.25,175.00,182.50,182.50,160.00,172.50,146.25,136.25,128.75,152.50,155.00,208.75,243.75,323.75,407.50,366.25,328.75,198.75,178.75,182.50,192.50,202.50,202.50,202.50,190.00,191.25,191.25,182.50,137.50,133.75,141.25,151.25,161.25,161.25,162.50,165.00,166.25,175.00,175.00,162.50,157.50,182.50,177.50,177.50,171.25,187.50,.,.,.,.
"....Mountain Province","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Mountain Province","GINGER, LOOSE, 1 KG",176.25,165.00,151.25,152.50,147.50,157.50,153.75,158.75,176.25,163.75,173.75,178.75,175.00,170.00,148.75,146.25,143.75,121.25,121.25,117.50,117.50,133.75,123.75,126.25,136.25,136.25,126.25,123.75,121.25,121.25,143.75,143.75,132.50,128.75,121.25,117.50,111.25,111.25,111.25,111.25,111.25,126.25,137.50,152.50,163.75,161.25,161.25,161.25,163.75,158.75,156.25,155.00,137.50,132.50,155.00,167.50,.,.,.,.
"....City of Baguio","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....City of Baguio","ONION RED CREOLE (BERMUDA RED), 1 KG",89.26,86.25,87.76,80.23,78.73,82.74,88.25,114.88,118.33,127.58,142.42,141.00,144.71,144.83,122.92,114.67,112.75,120.75,117.00,128.31,153.83,189.58,247.42,305.67,454.92,319.00,177.92,139.25,158.67,199.83,211.17,203.92,213.25,181.33,175.75,186.58,179.08,139.82,116.07,113.19,117.44,126.58,123.27,131.38,130.13,131.79,125.04,123.29,136.46,143.15,137.96,116.46,131.42,137.83,144.00,163.17,.,.,.,.
"....City of Baguio","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....City of Baguio","GINGER, LOOSE, 1 KG",124.19,120.54,124.19,115.06,105.93,111.41,133.33,159.00,169.00,167.20,141.10,118.40,113.90,114.50,102.70,94.60,95.60,96.80,92.10,97.90,100.10,111.50,114.30,116.30,106.80,106.80,100.00,93.40,99.30,107.70,109.00,110.80,113.90,119.90,132.20,149.60,133.50,137.40,135.75,136.00,152.40,177.10,180.70,187.10,183.20,186.50,173.50,170.80,168.07,157.80,152.90,159.00,160.50,161.50,162.85,170.55,.,.,.,.
"..I - Ilocos Region","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..I - Ilocos Region","ONION RED CREOLE (BERMUDA RED), 1 KG",137.41,109.32,102.42,99.91,99.43,101.12,101.42,103.96,110.83,127.92,131.67,150.83,160.42,140.83,84.58,65.00,69.75,83.33,98.75,124.92,132.08,178.75,193.33,311.04,495.83,324.58,189.58,141.46,172.58,173.42,176.75,175.08,166.54,161.13,159.79,153.96,143.54,110.00,90.21,79.38,77.92,93.54,105.63,104.58,103.54,106.04,111.25,110.42,131.25,145.83,138.75,122.08,117.92,123.75,128.75,151.25,.,.,.,.
"..I - Ilocos Region","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..I - Ilocos Region","GINGER, LOOSE, 1 KG",158.96,131.61,130.56,130.59,129.31,133.97,135.83,130.83,113.33,120.83,121.25,113.33,106.67,105.83,95.00,88.75,83.42,83.42,89.25,86.75,81.75,91.83,89.58,82.57,82.03,82.19,83.75,79.63,80.88,79.16,75.41,84.63,77.85,84.85,97.28,98.13,94.35,93.94,86.60,95.38,113.81,131.60,137.28,145.63,142.19,177.88,191.75,174.69,168.75,160.94,160.94,162.69,181.63,174.78,172.63,170.38,.,.,.,.
"....Ilocos Norte","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ilocos Norte","ONION RED CREOLE (BERMUDA RED), 1 KG",105.07,107.43,97.99,97.99,101.53,100.35,106.25,106.25,113.75,140.00,136.25,147.50,171.25,138.75,95.00,71.25,71.25,75.00,102.50,122.50,133.75,178.75,181.25,337.50,418.75,316.25,146.25,138.75,157.50,165.00,175.00,165.00,158.75,156.25,155.00,153.75,138.75,123.75,102.50,78.75,77.50,106.25,120.00,107.50,106.25,108.75,121.25,115.00,131.25,147.50,147.50,125.00,116.25,130.00,138.75,156.25,.,.,.,.
"....Ilocos Norte","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ilocos Norte","GINGER, LOOSE, 1 KG",153.43,128.16,120.77,114.61,120.77,129.40,131.25,128.75,112.50,110.00,117.50,103.75,98.75,98.75,88.75,95.00,90.00,90.00,97.50,96.25,91.25,86.25,88.75,88.75,91.25,93.75,92.50,85.00,91.25,83.13,75.00,101.25,89.38,83.13,96.25,95.00,95.00,92.50,81.25,98.75,117.50,142.50,130.00,158.75,108.75,152.50,183.75,162.50,173.75,153.75,148.75,143.75,156.25,171.25,177.50,167.50,.,.,.,.
"....Ilocos Sur","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ilocos Sur","ONION RED CREOLE (BERMUDA RED), 1 KG",131.25,117.50,108.75,108.75,102.50,107.50,105.00,110.00,122.50,135.00,133.75,166.25,172.50,165.00,73.75,63.75,75.00,88.75,97.50,128.75,131.25,155.00,193.75,310.63,493.75,292.50,166.25,121.25,192.50,182.50,185.00,190.00,187.50,173.75,181.25,151.25,138.75,92.50,95.00,86.25,81.25,98.75,100.00,103.75,102.50,102.50,110.00,107.50,133.75,150.00,130.00,102.50,108.75,123.75,116.25,155.00,.,.,.,.
"....Ilocos Sur","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Ilocos Sur","GINGER, LOOSE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.88,79.38,83.75,92.50,87.50,87.50,85.00,83.13,88.75,83.75,98.75,108.75,108.75,106.25,101.25,93.75,102.50,148.75,167.50,190.00,172.50,176.25,185.00,188.75,182.50,180.00,171.25,170.00,170.00,205.00,171.25,161.25,167.50,.,.,.,.
"....La Union","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....La Union","ONION RED CREOLE (BERMUDA RED), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....La Union","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....La Union","GINGER, LOOSE, 1 KG",150.00,143.75,127.50,133.75,123.75,125.00,128.75,116.25,95.00,115.00,113.75,111.25,98.75,96.25,85.00,78.75,73.75,76.25,86.25,78.75,80.00,87.50,85.63,77.50,72.50,72.50,68.75,66.25,65.00,68.75,68.75,73.75,70.00,77.50,92.50,90.00,87.50,90.00,80.00,92.50,102.50,121.25,120.00,131.25,156.25,207.50,225.00,212.50,192.50,182.50,190.00,197.50,200.00,202.50,165.00,167.50,.,.,.,.
"....Pangasinan","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Pangasinan","ONION RED CREOLE (BERMUDA RED), 1 KG",175.92,103.04,100.53,92.99,94.25,95.51,93.00,95.63,96.25,108.75,125.00,138.75,137.50,118.75,85.00,60.00,63.00,86.25,96.25,123.50,131.25,202.50,205.00,285.00,575.00,365.00,256.25,164.38,167.75,172.75,170.25,170.25,153.38,153.38,143.13,156.88,153.13,113.75,73.13,73.13,75.00,75.63,96.88,102.50,101.88,106.88,102.50,108.75,128.75,140.00,138.75,138.75,128.75,117.50,131.25,142.50,.,.,.,.
"....Pangasinan","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Pangasinan","GINGER, LOOSE, 1 KG",173.44,122.91,143.40,143.40,143.40,147.50,147.50,147.50,132.50,137.50,132.50,125.00,122.50,122.50,111.25,92.50,86.50,84.00,84.00,85.25,74.00,101.75,94.36,72.13,85.00,78.75,81.25,79.75,79.75,79.75,74.75,74.75,68.25,80.00,91.63,98.75,88.63,92.00,91.38,87.75,86.50,95.13,109.13,120.00,127.50,166.50,169.50,141.25,128.75,136.25,135.00,139.50,165.25,154.13,186.75,179.00,.,.,.,.
"..II - Cagayan Valley","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"..II - Cagayan Valley","ONION RED CREOLE (BERMUDA RED), 1 KG",155.95,122.45,121.16,115.71,113.77,122.34,122.19,121.88,130.16,133.91,141.56,166.41,185.63,144.06,121.56,107.97,102.81,114.06,116.10,135.78,144.85,202.19,220.94,293.13,365.00,279.38,200.63,158.28,185.31,199.38,205.78,206.88,196.41,183.13,182.50,204.38,187.35,146.25,134.22,125.94,123.75,129.85,127.35,133.28,137.66,140.47,138.28,141.72,155.00,173.60,164.85,145.16,151.25,153.13,155.31,174.22,.,.,.,.
"..II - Cagayan Valley","ONION WHITE (YELLOW GRANEX), 1 KG",85.93,79.61,78.35,74.81,71.40,73.29,65.71,65.71,70.00,72.86,72.86,74.29,82.86,67.14,62.86,61.43,68.57,85.71,91.43,191.43,378.57,371.43,235.71,275.00,301.43,210.00,121.43,108.75,167.50,156.88,177.50,155.00,150.63,127.50,120.00,130.00,132.50,110.00,71.88,60.63,69.38,74.38,76.88,85.00,116.25,122.50,110.00,113.75,123.75,116.88,105.00,97.50,112.50,116.25,100.00,132.50,.,.,.,.
"..II - Cagayan Valley","GINGER, LOOSE, 1 KG",180.06,170.03,153.05,151.80,161.87,170.02,173.13,165.63,166.25,155.63,154.38,154.38,151.88,148.13,131.25,128.13,123.75,129.38,126.88,123.13,119.69,126.57,130.63,133.13,137.50,140.00,130.63,123.13,125.00,122.50,125.00,129.38,133.75,146.25,150.63,150.63,159.38,148.75,139.38,132.50,150.63,160.63,175.63,185.00,183.13,197.50,205.63,213.13,201.88,195.00,186.25,185.63,199.38,205.63,211.88,213.13,.,.,.,.
"....Batanes","GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
"....Batanes","ONION RED CREOLE (BERMUDA RED), 1 KG",233.22,189.50,178.72,177.45,177.45,183.53,181.25,185.00,198.75,198.75,202.50,206.25,237.50,225.00,203.75,201.25,188.75,188.75,188.75,193.75,201.25,207.50,221.25,282.50,360.00,368.75,341.25,281.25,262.50,268.75,281.25,296.25,257.50,256.25,250.00,248.75,253.13,240.00,253.75,235.00,220.63,219.38,196.88,215.63,228.13,234.38,235.63,233.13,229.38,246.88,236.88,234.38,236.25,216.25,222.50,220.00,.,.,.,.
"....Batanes","ONION WHITE (YELLOW GRANEX), 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.
